StudyID,SampID,Ecosystem,Latitude,Longitude,Cdepth,carbon_stock_30cm,carbon_stock_50cm,carbon_stock_100cm
,,,49.048,-123.04686,,,,
,,,49.04725,-123.04589,,,,
,,,49.04697,-123.04689,,,,
,,,49.04811,-123.04428,,,,
,,,49.04878,-123.04572,,,,
,,,49.04656,-123.04444,,,,
,,,49.04753,-123.04361,,,,
,,,49.04658,-123.04183,,,,
,,,49.03,-123.0435,,,,
,,,49.04339,-123.04869,,,,
,,,51.6735,-128.118,,,,
,,,51.6788,-128.1148,,,,
,,,51.6726,-128.1172,,,,
,,,51.6749,-128.1237,,,,
,,,51.6745,-128.1178,,,,
,,,51.6735,-128.118,,,,
,,,51.6748,-128.1195,,,,
,,,51.678,-128.119,,,,
,,,51.678,-128.119,,,,
,,,51.678,-128.119,,,,
,,,49.0875,-125.7324,,,,
,,,49.0876,-125.7326,,,,
,,,49.0876,-125.7327,,,,
,,,49.0877,-125.7328,,,,
,,,49.1411,-125.6696,,,,
,,,49.1414,-125.6662,,,,
,,,49.1414,-125.6663,,,,
,,,49.1415,-125.6664,,,,
,,,49.1416,-125.6664,,,,
,,,49.1414,-125.6662,,,,
,,,49.1414,-125.6661,,,,
,,,49.1414,-125.6661,,,,
,,,49.137,-125.6708,,,,
,,,49.1371,-125.6709,,,,
,,,49.1372,-125.671,,,,
,,,49.1301,-125.6991,,,,
,,,49.1301,-125.8869,,,,
,,,49.1302,-125.8869,,,,
,,,49.1299,-125.8866,,,,
,,,49.1302,-125.8867,,,,
,,,49.2176,-125.9302,,,,
,,,49.2176,-125.9302,,,,
,,,49.2176,-125.9302,,,,
,,,49.2176,-125.9302,,,,
,,,49.2178,-125.9306,,,,
,,,49.2178,-125.93,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1113,-125.7698,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.1392,-125.6722,,,,
,,,49.2176,-125.9302,,,,
,,,49.1113,-125.7698,,,,
,,,49.1392,-125.6722,,,,
,,,48.76458,-123.62883,,,,
,,,48.76417,-123.62717,,,,
,,,48.7635,-123.623,,,,
,,,48.75867,-123.63467,,,,
,,,48.758,-123.63183,,,,
,,,48.75717,-123.63033,,,,
,,,48.74789,-123.63752,,,,
,,,48.74789,-123.63752,,,,
,,,48.76317,-123.63567,,,,
,,,48.76283,-123.61681,,,,
,,,48.761,-123.626,,,,
,,,48.76117,-123.62483,,,,
,,,48.7615,-123.62467,,,,
,,,48.762,-123.62433,,,,
,,,49.2791,-125.9075,,,,
,,,49.279,-125.9076,,,,
,,,49.2794,-125.9093,,,,
,,,49.2792,-125.9093,,,,
,,,49.2789,-125.911,,,,
,,,49.2788,-125.9109,,,,
,,,51.9228,-128.4645,,,,
,,,51.9242,-128.4619,,,,
,,,51.9227,-128.4628,,,,
,,,51.9224,-128.4663,,,,
,,,51.9239,-128.4675,,,,
,,,51.9228,-128.4645,,,,
,,,51.924,-128.4641,,,,
,,,51.923,-128.46,,,,
,,,51.923,-128.46,,,,
,,,51.7803,-127.8709,,,,
,,,51.7815,-127.8657,,,,
,,,51.7802,-127.8706,,,,
,,,51.7793,-127.8719,,,,
,,,51.7817,-127.866,,,,
,,,51.7803,-127.8709,,,,
,,,51.7793,-127.8721,,,,
,,,51.781,-127.868,,,,
,,,51.781,-127.868,,,,
,,,51.781,-127.868,,,,
,,,49.66555,-124.91283,,,,
,,,49.66605,-124.91022,,,,
,,,49.67005,-124.93853,,,,
,,,49.65835,-124.95398,,,,
,,,49.66023,-124.9439,,,,
,,,49.6668,-124.93478,,,,
,,,49.65865,-124.9423,,,,
,,,49.66513,-124.91967,,,,
,,,49.65162,-124.93242,,,,
,,,52.0614,-128.4132,,,,
,,,52.0611,-128.4134,,,,
,,,52.0621,-128.4139,,,,
,,,52.0615,-128.4122,,,,
,,,52.0614,-128.4126,,,,
,,,52.0614,-128.4132,,,,
,,,52.0616,-128.4137,,,,
,,,52.062,-128.413,,,,
,,,52.062,-128.413,,,,
,,,52.062,-128.413,,,,
,,,51.6453,-128.1193,,,,
,,,51.6471,-128.1204,,,,
,,,51.6466,-128.1198,,,,
,,,51.6466,-128.1191,,,,
,,,51.6459,-128.1194,,,,
,,,51.6453,-128.1193,,,,
,,,51.6447,-128.1198,,,,
,,,51.649,-128.119,,,,
,,,51.649,-128.119,,,,
,,,51.649,-128.119,,,,
,,,51.646,-128.119,,,,
,,,51.646,-128.119,,,,
,,,51.646,-128.119,,,,
,,,54.18008,-130.18214,,,,
,,,54.18011,-130.1823,,,,
,,,54.18072,-130.18513,,,,
,,,54.18108,-130.18519,,,,
,,,54.18097,-130.18494,,,,
,,,54.16811,-130.15836,,,,
,,,54.16805,-130.1585,,,,
,,,54.1683,-130.15872,,,,
,,,54.16633,-130.15577,,,,
,,,54.17294,-130.16883,,,,
,,,54.17291,-130.16897,,,,
,,,54.17286,-130.16905,,,,
,,,54.17089,-130.18833,,,,
,,,54.17103,-130.18833,,,,
,,,54.17128,-130.18819,,,,
,,,54.17024,-130.18661,,,,
,,,54.17008,-130.18672,,,,
,,,54.17011,-130.18686,,,,
,,,54.16933,-130.1853,,,,
,,,54.16955,-130.18533,,,,
,,,54.16958,-130.18511,,,,
,,,54.16341,-130.15108,,,,
,,,54.16327,-130.15144,,,,
,,,54.16166,-130.14941,,,,
,,,54.16166,-130.14958,,,,
,,,54.15858,-130.16616,,,,
,,,54.15852,-130.16586,,,,
,,,54.15858,-130.16561,,,,
,,,54.17883,-130.1803,,,,
,,,54.17891,-130.18011,,,,
,,,54.17902,-130.17991,,,,
,,,54.16308,-130.15194,,,,
,,,54.16163,-130.1498,,,,
,,,54.19,-130.24,,,,
,,,54.19,-130.24,,,,
,,,54.19,-130.24,,,,
,,,51.8087,-128.2359,,,,
,,,51.8099,-128.2355,,,,
,,,51.81,-128.2347,,,,
,,,51.8094,-128.2338,,,,
,,,51.8092,-128.2352,,,,
,,,51.8087,-128.2359,,,,
,,,51.8083,-128.2365,,,,
,,,51.809,-128.236,,,,
,,,51.809,-128.236,,,,
,,,51.809,-128.236,,,,
,,,49,-123.1,,,,
,,,49,-123.1,,,,
,,,49,-123.1,,,,
,,,,,,,,
,,,,,,,,
,,,Lat,Long,,,,
,,,49.05003,-123.03683,,,,
,,,49.05031,-123.03469,,,,
,,,49.048,-123.04686,,,,
,,,49.04725,-123.04589,,,,
,,,49.04697,-123.04689,,,,
,,,49.04811,-123.04428,,,,
,,,49.04878,-123.04572,,,,
,,,49.04656,-123.04444,,,,
,,,49.04753,-123.04361,,,,
,,,49.04658,-123.04183,,,,
,,,49.03,-123.0435,,,,
